;dokumen uji;precision;recall;fmeasure
1;dokumen 1;0,25;0,25;0,25
2;dokumen 2;0,333333333;0,333333333;0,333333333
3;dokumen 3;0,333333333;0,333333333;0,333333333
4;dokumen 4;0;0;0
5;dokumen 5;0,5;0,5;0,5
6;dokumen 6;0;0;0
7;dokumen 7;0,25;0,25;0,25
8;dokumen 8;0,5;0,5;0,5
9;dokumen 9;0;0;0
10;dokumen 10;0,5;0,5;0,5
;Rata-rata;0,266666667;0,266666667;0,266666667
