;dokumen uji;precision;recall;fmeasure
1;1;0,5;0,5;0,5
2;2;0,5;0,5;0,5
3;3;0,5;0,5;0,5
4;4;0;0;0
5;5;0;0;0
6;6;0;0;0
7;7;0;0;0
8;8;0,5;0,5;0,5
9;9;0;0;0
10;10;0,333333333;0,333333333;0,333333333
;Rata-rata;0,233333333;0,233333333;0,233333333
