;dokumen uji;precision;recall;fmeasure
1;dokumen 1;0,416666667;0,416666667;0,416666667
2;dokumen 2;0,5;0,5;0,5
3;dokumen 3;0,444444444;0,444444444;0,444444444
4;dokumen 4;0,5;0,5;0,5
5;dokumen 5;0,625;0,625;0,625
6;dokumen 6;0,444444444;0,444444444;0,444444444
7;dokumen 7;0,7;0,7;0,7
8;dokumen 8;0,636363636;0,636363636;0,636363636
9;dokumen 9;0,583333333;0,583333333;0,583333333
10;dokumen 10;0,666666667;0,666666667;0,666666667
;Rata-rata;0,551691919;0,551691919;0,551691919
